club_name,club_tm_id,league,season,market_value_m,club_url
Norwich City,1123,Premier League,2021-2022,163.2,https://www.transfermarkt.fr/norwich-city/startseite/verein/1123/saison_id/2021
Tottenham Hotspur,148,Premier League,2021-2022,689.35,https://www.transfermarkt.fr/tottenham-hotspur/startseite/verein/148/saison_id/2021
West Ham United,379,Premier League,2021-2022,354.9,https://www.transfermarkt.fr/west-ham-united/startseite/verein/379/saison_id/2021
Wolverhampton Wanderers,543,Premier League,2021-2022,376.95,https://www.transfermarkt.fr/wolverhampton-wanderers/startseite/verein/543/saison_id/2021
AFC Bournemouth,989,Premier League,2022-2023,287.2,https://www.transfermarkt.fr/afc-bournemouth/startseite/verein/989/saison_id/2022
Arsenal FC,11,Premier League,2022-2023,1000.0,https://www.transfermarkt.fr/fc-arsenal/startseite/verein/11/saison_id/2022
Aston Villa,405,Premier League,2022-2023,509.55,https://www.transfermarkt.fr/aston-villa/startseite/verein/405/saison_id/2022
Brighton & Hove Albion,1237,Premier League,2022-2023,529.8,https://www.transfermarkt.fr/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2022
Chelsea FC,631,Premier League,2022-2023,994.95,https://www.transfermarkt.fr/fc-chelsea/startseite/verein/631/saison_id/2022
Crystal Palace,873,Premier League,2022-2023,323.05,https://www.transfermarkt.fr/crystal-palace/startseite/verein/873/saison_id/2022
FC Brentford,1148,Premier League,2022-2023,371.2,https://www.transfermarkt.fr/fc-brentford/startseite/verein/1148/saison_id/2022
FC Everton,29,Premier League,2022-2023,413.15,https://www.transfermarkt.fr/fc-everton/startseite/verein/29/saison_id/2022
FC Fulham,931,Premier League,2022-2023,295.1,https://www.transfermarkt.fr/fc-fulham/startseite/verein/931/saison_id/2022
FC Liverpool,31,Premier League,2022-2023,811.85,https://www.transfermarkt.fr/fc-liverpool/startseite/verein/31/saison_id/2022
FC Southampton,180,Premier League,2022-2023,419.95,https://www.transfermarkt.fr/fc-southampton/startseite/verein/180/saison_id/2022
Leeds United,399,Premier League,2022-2023,345.15,https://www.transfermarkt.fr/leeds-united/startseite/verein/399/saison_id/2022
Leicester City,1003,Premier League,2022-2023,490.7,https://www.transfermarkt.fr/leicester-city/startseite/verein/1003/saison_id/2022
Manchester City,281,Premier League,2022-2023,1150.0,https://www.transfermarkt.fr/manchester-city/startseite/verein/281/saison_id/2022
Manchester United,985,Premier League,2022-2023,847.75,https://www.transfermarkt.fr/manchester-united/startseite/verein/985/saison_id/2022
Newcastle United,762,Premier League,2022-2023,541.6,https://www.transfermarkt.fr/newcastle-united/startseite/verein/762/saison_id/2022
Nottingham Forest,703,Premier League,2022-2023,376.25,https://www.transfermarkt.fr/nottingham-forest/startseite/verein/703/saison_id/2022
Tottenham Hotspur,148,Premier League,2022-2023,649.1,https://www.transfermarkt.fr/tottenham-hotspur/startseite/verein/148/saison_id/2022
